date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:37	6348/6348	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
14:31:37	6840/6840	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
14:31:38	4672/4672	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-vietnamese.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
14:31:38	12352/12352	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:40%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin-ext.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
14:31:38	13324/13324	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
14:31:39	5268/5268	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:40%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
14:31:39	7584/7584	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
14:31:40	6320/6320	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek-ext.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
14:31:40	6644/6644	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
14:31:41	4568/4568	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:40%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-vietnamese.woff2	C:/Users/joaqu/OneDrive/Escritorio/httrack/class%20central%202/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
